Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
187: Ride or Die,XB,2005,Racing,Ubisoft,0.05,0.01,0,0
1942,NES,1985,Shooter,Capcom,0.65,0.14,0.21,0
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,2005,Racing,THQ,0.09,0.03,0,0
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,Action,THQ,1.26,0.47,0,0.03
2 Games in 1: Disney Princess & The Lion King,GBA,2004,Misc,THQ,1.25,0.46,0,0.03
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005,Action,THQ,0.22,0.08,0,0.01
2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Misc,THQ,1.31,0.49,0,0.03
2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005,Misc,THQ,0.44,0.16,0,0.01
2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,2005,Misc,Sega,0.04,0.02,0,0
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005,Platform,THQ,0.33,0.12,0,0.01
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,2013,Misc,Ubisoft,0.09,0.01,0,0.01
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004,Misc,Sega,0.4,0.11,0,0.02
2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005,Platform,Activision,0.06,0.02,0,0
2002 FIFA World Cup,GC,2002,Sports,Electronic Arts,0.04,0.01,0,0
2002 FIFA World Cup,PS2,2002,Sports,Electronic Arts,0.21,0.17,0.16,0.06
2002 FIFA World Cup,XB,2002,Sports,Electronic Arts,0.14,0.04,0,0.01
2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22
2010 FIFA World Cup South Africa,PSP,2010,Sports,Electronic Arts,0.09,0.24,0.03,0.12
2010 FIFA World Cup South Africa,Wii,2010,Sports,Electronic Arts,0.23,0.15,0.01,0.04
2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,0.32,0.43,0.02,0.09
2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,0.15,0.39,0.01,0.16
2014 FIFA World Cup Brazil,X360,2014,Sports,Electronic Arts,0.14,0.28,0,0.04
24: The Game,PS2,2006,Adventure,Sony Computer Entertainment,0.15,0.12,0,0.04
25 to Life,PS2,2006,Shooter,Eidos Interactive,0.35,0.01,0,0.06
25 to Life,XB,2006,Shooter,Eidos Interactive,0.12,0.04,0,0.01
2Xtreme,PS,1996,Sports,Sony Computer Entertainment,1.15,0.2,0,0.05
"3 in 1: Solitaire, Mahjong & Tangram",DS,2010,Misc,Deep Silver,0,0.07,0,0.01
300: March to Glory,PSP,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0,0.06
3D Baseball,PS,1996,Sports,BMG Interactive Entertainment,0.02,0.01,0,0
3D Dot Game Heroes,PS3,2009,Role-Playing,SouthPeak Games,0.36,0.12,0.03,0.07
3D Lemmings,PS,1995,Puzzle,Psygnosis,0.03,0.02,0,0
3D Tank Warfare Simulator Panzer Front,PS,1999,Simulation,Avalon Interactive,0.06,0.04,0,0.01
3DS Classic Collection,3DS,2016,Misc,Sega,0.02,0,0,0
3rd Super Robot Wars Z Jigoku Hen,PS3,2014,Role-Playing,Namco Bandai Games,0,0,0.23,0
3rd Super Robot Wars Z Jigoku Hen,PSV,2014,Role-Playing,Namco Bandai Games,0,0,0.19,0
3rd Super Robot Wars Z: Tengoku-Hen,PS3,2015,Action,Namco Bandai Games,0,0,0.15,0
3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015,Action,Namco Bandai Games,0,0,0.19,0
3Xtreme,PS,1999,Action,989 Studios,0.5,0.34,0,0.06
4 Elements,PC,2009,Puzzle,Mastertronic,0,0.04,0,0.01
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,2005,Misc,Atari,0.11,0,0,0.01
4 Nin uchi Mahjong,NES,1984,Misc,Nintendo,0,0,1.45,0
40 Winks,PS,1999,Platform,GT Interactive,0.17,0.12,0,0.02
428: Fuusa Sareta Shibuya de,PS3,2009,Adventure,Spike,0,0,0.02,0
428: Fuusa Sareta Shibuya de,PSP,2009,Adventure,Spike,0,0,0.04,0
428: Fuusa Sareta Shibuya de,Wii,2008,Adventure,Sega,0,0,0.13,0
4x4 EVO 2,GC,2002,Racing,Vivendi Games,0.11,0.03,0,0
4x4 EVO 2,XB,2001,Racing,Gathering of Developers,0.18,0.05,0,0.01
4x4 Evolution,PS2,2001,Racing,Gathering of Developers,0.16,0.12,0,0.04
50 Cent: Blood on the Sand,PS3,2009,Shooter,THQ,0.1,0.06,0.01,0.03
50 Cent: Blood on the Sand,X360,2009,Shooter,THQ,0.12,0.07,0,0.02
50 Cent: Bulletproof,PS2,2005,Action,Vivendi Games,0.85,0.76,0,0.16
50 Cent: Bulletproof,PSP,2006,Action,Vivendi Games,0.08,0,0,0.01
50 Cent: Bulletproof,XB,2005,Action,Vivendi Games,0.33,0.1,0,0.02
50 Classic Games,3DS,2012,Misc,Avanquest Software,0,0.02,0,0
50 Classic Games,DS,2009,Misc,Destineer,0.52,0,0,0.04
64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,1997,Misc,Namco Bandai Games,0,0,0.22,0
7 Days to Die,PS4,2016,Action,Telltale Games,0.03,0.07,0,0.02
7 Days to Die,XOne,2016,Action,Telltale Games,0.02,0.02,0,0
7 Roses: A Darkness Rises,PC,2015,Misc,Avanquest Software,0,0.02,0,0
7 Wonders II,DS,2009,Puzzle,Rondomedia,0.14,0.15,0,0.03
7 Wonders of the Ancient World,DS,2007,Puzzle,Funsta,0.1,0.01,0,0.01
7 Wonders of the Ancient World,PSP,2007,Puzzle,Mumbo Jumbo,0.07,0,0,0.01
7 Wonders: Treasures of Seven,DS,2011,Puzzle,Avanquest,0.02,0.03,0,0.01
7th Dragon,DS,2009,Role-Playing,Sega,0,0,0.14,0
7th Dragon 2020,PSP,2011,Role-Playing,Sega,0,0,0.2,0
7th Dragon 2020-II,PSP,2013,Role-Playing,Sega,0,0,0.13,0
7th Dragon III Code: VFD,3DS,2015,Role-Playing,Sega,0.03,0,0.12,0
99 no Namida,DS,2008,Adventure,Namco Bandai Games,0,0,0.04,0
"999: Nine Hours, Nine Persons, Nine Doors",DS,2009,Adventure,ChunSoft,0.37,0,0.03,0.03
A Boy and His Blob,Wii,2009,Platform,Majesco Entertainment,0.19,0.02,0,0.02
A Bug's Life,N64,1998,Platform,Activision,0.49,0.13,0,0.01
A Bug's Life,PS,1998,Platform,Sony Computer Entertainment,1.96,0.72,0,0.11
A Collection of Activision Classic Games for the Atari 2600,PS,1998,Misc,Activision,0.76,0.52,0,0.09
A Collection of Classic Games from the Intellivision,PS,1999,Misc,Activision,0.17,0.12,0,0.02
A Game of Thrones: Genesis,PC,2011,Strategy,Focus Home Interactive,0,0.03,0,0.01
A Good Librarian Like a Good Shepherd: Library Party,PSV,2015,Action,Kaga Create,0,0,0.03,0
A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,1995,Simulation,Pack-In-Video,0,0,0.06,0
A New Beginning,PC,2010,Adventure,Deep Silver,0,0.05,0,0.01
A Ressha de Gyoukou 2001,PS2,2001,Simulation,ArtDink,0,0,0.03,0
A Ressha de Ikou DS,DS,2009,Simulation,ArtDink,0,0,0.04,0
A Vampyre Story,PC,2008,Adventure,Crimson Cow,0,0.01,0,0
A Witch's Tale,DS,2009,Role-Playing,Nippon Ichi Software,0.08,0,0.03,0.01
A-Train,PS,1995,Simulation,Sony Computer Entertainment,0.02,0.01,0.04,0.01
A-Train 6,PS2,2000,Strategy,Midas Interactive Entertainment,0,0,0.06,0
A-Train: City Simulator,3DS,2014,Simulation,ArtDink,0,0,0.06,0
A. IV Evolution: A Ressha de Ikou 4,PS,1994,Strategy,ArtDink,0,0,0.24,0.02
A.C.E.: Another Century's Episode,PS2,2005,Simulation,Banpresto,0,0,0.26,0
A.C.E.: Another Century's Episode 2,PS2,2006,Simulation,Banpresto,0,0,0.18,0
A.C.E.: Another Century's Episode 3: The Final,PS2,2007,Simulation,Banpresto,0,0,0.26,0
A.C.E.: Another Century's Episode Portable,PSP,2011,Simulation,Namco Bandai Games,0,0,0.12,0
A.C.E.: Another Century's Episode R,PS3,2010,Simulation,Namco Bandai Games,0,0,0.26,0
Aa Megami-samaa,PS2,2007,Adventure,Marvelous Interactive,0,0,0.01,0
ABBA: You Can Dance,Wii,2011,Misc,Ubisoft,0.19,0.5,0,0.11
Abunai: Koi no Sousa Shitsu,PSP,2012,Action,Quinrose,0,0,0.01,0
Abunai: Koi no Sousa Shitsu,PSV,2015,Action,Asgard,0,0,0.02,0
AC/DC LIVE: Rock Band Track Pack,PS2,2008,Misc,MTV Games,0.08,0.06,0,0.02
AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,MTV Games,0.21,0.01,0,0.02
AC/DC LIVE: Rock Band Track Pack,Wii,2008,Misc,MTV Games,0.25,0,0,0.02
AC/DC LIVE: Rock Band Track Pack,X360,2008,Misc,MTV Games,0.21,0,0,0.02
Academy of Champions: Soccer,Wii,2009,Sports,Ubisoft,0.1,0.02,0,0.01
Accel World: Ginyoku no Kakusei,PS3,2012,Adventure,Namco Bandai Games,0,0,0.03,0
Accel World: Ginyoku no Kakusei,PSP,2012,Adventure,Namco Bandai Games,0,0,0.03,0
Accel World: Kasoku no Chouten,PS3,2013,Adventure,Namco Bandai Games,0,0,0.02,0
Accel World: Kasoku no Chouten,PSP,2013,Adventure,Namco Bandai Games,0,0,0.01,0
Ace Attorney 6,3DS,2016,Adventure,Capcom,0,0,0.27,0
Ace Attorney Investigations 2,DS,2011,Adventure,Capcom,0,0,0.26,0
Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,Capcom,0.27,0.15,0.3,0.04
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17
Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06
Ace Combat 3: Electrosphere,PS,1999,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05
Ace Combat 5: The Unsung War,PS2,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18
Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Atari,0.69,0.04,0.22,0.06
Ace Combat X: Skies of Deception,PSP,2006,Simulation,Namco Bandai Games,0.37,0.31,0.12,0.19
Ace Combat Zero: The Belkan War,PS2,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04
Ace Combat: Assault Horizon,PS3,2011,Action,Namco Bandai Games,0.3,0.16,0.22,0.07
Ace Combat: Assault Horizon,X360,2011,Action,Namco Bandai Games,0.3,0.12,0.03,0.04
Ace Combat: Assault Horizon Legacy,3DS,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01
Ace Combat: Joint Assault,PSP,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03
Achtung Panzer: Kharkov 1943,PC,2010,Strategy,Mamba Games,0,0.01,0,0
Act of Aggression,PC,2015,Strategy,Focus Home Interactive,0,0.01,0,0
Action Bass,PS,2000,Action,Take-Two Interactive,0.64,0.43,0,0.07
Action Force,2600,1982,Action,CPG Products,0.5,0.03,0,0.01
Action Man-Operation Extreme,PS,N/A,Action,N/A,0.05,0.03,0,0.01
Active Health with Carol Vorderman,DS,2009,Sports,Nintendo,0,0.18,0,0.01
Active Life Explorer,Wii,2010,Sports,Namco Bandai Games,0.14,0,0,0.01
Active Life: Extreme Challenge,Wii,2009,Sports,Namco Bandai Games,0.15,0.27,0,0.06
Active Life: Magical Carnival,Wii,2011,Misc,Namco Bandai Games,0.04,0.01,0,0
Active Life: Outdoor Challenge,Wii,2008,Sports,Atari,0.79,0.44,0.19,0.14
Activision Anthology,GBA,2003,Misc,Activision,0.03,0.01,0,0
Activision Anthology,PS2,2002,Misc,Activision,0.25,0.19,0,0.06
Activision Hits: Remixed,PSP,2006,Misc,Activision,0.05,0,0,0
Actua Tennis,PS,1997,Sports,Gremlin Interactive Ltd,0.07,0.05,0,0.01
Adidas Power Soccer,PS,1996,Sports,Psygnosis,0.02,0.01,0,0
Adidas Power Soccer 98,PS,1998,Sports,Psygnosis,0.01,0.01,0,0
Adrenalin Misfits,X360,2010,Racing,Konami Digital Entertainment,0.12,0.02,0,0.01
Advance Guardian Heroes,GBA,2004,Role-Playing,Ubisoft,0.03,0.01,0,0
Advance Wars,GBA,2001,Strategy,Nintendo,0.5,0.19,0,0.01
Advance Wars 2: Black Hole Rising,GBA,2003,Strategy,Nintendo,0.47,0.17,0,0.01
Advance Wars: Days of Ruin,DS,N/A,Strategy,Nintendo,0.44,0.13,0,0.06
Advance Wars: Dual Strike,DS,2005,Strategy,Nintendo,0.3,0.03,0.04,0.03
Advent Rising,XB,2005,Action,THQ,0.1,0.03,0,0
Adventure,2600,N/A,Adventure,Atari,1.21,0.08,0,0.01
Adventure Island,NES,1986,Platform,Hudson Soft,0,0,1.05,0
Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,2013,Action,D3Publisher,0.1,0.03,0,0.01
Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,2013,Action,D3Publisher,0.02,0.02,0,0.01
Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,2013,Action,D3Publisher,0.02,0.01,0,0
Adventure Time: Explore the Dungeon Because I Don't Know!,X360,2013,Action,D3Publisher,0.03,0.04,0,0.01
Adventure Time: Finn & Jake Investigations,3DS,2015,Action,Little Orbit,0.02,0.05,0,0.01
Adventure Time: Finn & Jake Investigations,PS3,2015,Action,Little Orbit,0.02,0.07,0,0.02
Adventure Time: Finn & Jake Investigations,PS4,2015,Action,Little Orbit,0.03,0.04,0,0.01
Adventure Time: Finn & Jake Investigations,WiiU,2015,Action,Little Orbit,0.03,0.02,0,0
Adventure Time: Finn & Jake Investigations,X360,2015,Action,Little Orbit,0.02,0.06,0,0.01
Adventure Time: Finn & Jake Investigations,XOne,2015,Action,Little Orbit,0.02,0.02,0,0
Adventure Time: The Secret of the Nameless,3DS,2014,Adventure,Little Orbit,0.01,0,0,0
Adventure Time: The Secret of the Nameless,X360,2014,Adventure,Little Orbit,0.01,0,0,0
Adventure Time: The Secret of the Nameless Kingdom,3DS,2014,Action,Little Orbit,0,0.07,0,0
Adventure Time: The Secret of the Nameless Kingdom,X360,2014,Action,Little Orbit,0,0.08,0,0.01
Adventures of Lolo,NES,1989,Puzzle,HAL Laboratory,0.06,0,0,0
Adventures of Tron,2600,1981,Action,Mattel Interactive,0.63,0.03,0,0.01
Adventures to Go!,PSP,2008,Role-Playing,Zushi Games,0.1,0,0.01,0.01
Aedis Eclipse: Generation of Chaos,PSP,2006,Role-Playing,Idea Factory,0.02,0,0,0
Aegis of Earth: Protonovus Assault,PS3,2016,Action,PQube,0.01,0.01,0,0
Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube,0.02,0,0,0
Aegis of Earth: Protonovus Assault,PSV,2016,Action,PQube,0.02,0.01,0,0.01
Aeon Flux,PS2,2005,Action,THQ,0.02,0.02,0,0.01
Aeon Flux,XB,2005,Action,THQ,0.01,0,0,0
Aero Elite: Combat Academy,PS2,2002,Simulation,Sega,0.04,0.03,0,0.01
Aero Gauge,N64,1997,Racing,ASCII Entertainment,0.06,0.01,0,0
AeroFighters Assault,N64,1997,Action,Video System,0.15,0.04,0,0
Afrika,PS3,2008,Adventure,Unknown,0.12,0,0.08,0.01
Afro Samurai,PS3,2009,Action,Atari,0.12,0.05,0,0.03
Afro Samurai,X360,2009,Action,Atari,0.16,0.05,0,0.02
After Hours Athletes,PS3,2011,Sports,Sony Computer Entertainment,0,0.1,0,0.03
Again,DS,2009,Adventure,Ackkstudios,0.07,0,0,0
Agarest Senki: Re-appearance,PS3,N/A,Role-Playing,Idea Factory,0,0,0.01,0
Agassi Tennis Generation,PS2,2003,Sports,DreamCatcher Interactive,0.04,0.03,0,0.01
Agatha Christie: And Then There Were None,Wii,2008,Adventure,The Adventure Company,0.06,0.01,0,0.01
Agatha Christie: Death on the Nile,PC,2008,Adventure,Big Fish Games,0,0.01,0,0
Agatha Christie: Evil Under the Sun,Wii,2008,Adventure,The Adventure Company,0.07,0.02,0,0.01
Agatha Christie: Peril at End House,PC,2009,Adventure,JoWood Productions,0,0.01,0,0
Agatha Christie: The ABC Murders,DS,2009,Adventure,JoWood Productions,0.08,0.01,0,0.01
Agatha Christie: The ABC Murders,PC,2016,Adventure,Microids,0,0.02,0,0
Agatha Christie's The ABC Murders,PS4,2016,Adventure,Microids,0.01,0.01,0,0
Age of Conan: Rise of the Godslayer,PC,2010,Role-Playing,Funcom,0,0.02,0,0
Age of Empires II: The Age of Kings,PC,1999,Strategy,Microsoft Game Studios,0.01,0.08,0,0.02
Age of Empires III,PC,2005,Strategy,Microsoft Game Studios,0,0.32,0,0.07
Age of Empires III: Complete Collection,PC,2009,Strategy,Microsoft Game Studios,0.01,0.12,0,0.03
Age of Empires III: Gold Edition,PC,2007,Strategy,Microsoft Game Studios,0,0.02,0,0.01
Age of Empires III: The Asian Dynasties,PC,2007,Strategy,Microsoft Game Studios,0,0.05,0,0.01
Age of Empires Online,PC,2011,Strategy,Microsoft Game Studios,0.01,0.04,0,0.01
Age of Empires: Collector's Edition,PC,2000,Strategy,Ubisoft,0.02,0.1,0,0.02
Age of Empires: Mythologies,DS,2008,Strategy,THQ,0.17,0.03,0,0.02
Age of Empires: The Age of Kings,DS,2006,Strategy,THQ,0.19,0.02,0,0.02
Age of Mythology,PC,2002,Strategy,Microsoft Game Studios,0.02,0.06,0,0.01
Age of Mythology: The Titans,PC,2003,Strategy,Microsoft Game Studios,0.01,0.02,0,0
Aggressive Inline,GC,2002,Sports,Acclaim Entertainment,0.04,0.01,0,0
Aggressive Inline,PS2,2002,Sports,Acclaim Entertainment,0.17,0.13,0,0.04
Aggressive Inline,XB,2002,Sports,Acclaim Entertainment,0.05,0.01,0,0
Agile Warrior F-111X,PS,1995,Simulation,Virgin Interactive,0.08,0.05,0,0.01
Aibou DS,DS,2009,Adventure,Tecmo Koei,0,0,0.08,0
Aidyn Chronicles: The First Mage,N64,2001,Role-Playing,THQ,0.08,0.02,0,0
Aikatsu! 2-nin no My Princess,3DS,2013,Action,Namco Bandai Games,0,0,0.26,0
Aikatsu! 365 Idol Days,3DS,2014,Adventure,Namco Bandai Games,0,0,0.13,0
Aikatsu! Cinderella Lesson,3DS,2012,Role-Playing,Namco Bandai Games,0,0,0.2,0
Aikatsu! My No.1 Stage!,3DS,2015,Misc,Namco Bandai Games,0,0,0.07,0
Ailu de Puzzle,PSP,2012,Action,Capcom,0,0,0.04,0
AIR,PSP,2007,Adventure,Prototype,0,0,0.02,0
Air Combat,PS,1995,Simulation,Sony Computer Entertainment,0.92,0.33,0.52,0.05
Air Conflicts: Aces of World War II,PSP,2009,Simulation,Graffiti,0.05,0,0,0
Air Conflicts: Secret Wars,PC,2011,Simulation,bitComposer Games,0,0.02,0,0.01
Air Conflicts: Secret Wars,PS3,2011,Simulation,bitComposer Games,0.1,0.06,0,0.03
Air Conflicts: Secret Wars,X360,2011,Simulation,bitComposer Games,0.06,0.02,0,0.01
Air Raid,2600,1981,Action,Men-A-Vision,0.72,0.04,0,0.01
Air Traffic Chaos,DS,2007,Simulation,Ertain,0.05,0,0,0
Air-Sea Battle,2600,N/A,Shooter,Atari,0.91,0.06,0,0.01
Airblade,PS2,2001,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03
Airborne Troops: Countdown to D-Day,PS2,2005,Shooter,Playlogic Game Factory,0.06,0.05,0,0.02
AirForce Delta Storm,GBA,2002,Shooter,Konami Digital Entertainment,0.02,0.01,0,0
AirForce Delta Storm,XB,2001,Shooter,Konami Digital Entertainment,0.14,0.04,0,0.01
AirForce Delta Strike,PS2,2004,Simulation,Konami Digital Entertainment,0.05,0.04,0,0.01
Airline Tycoon,PC,2000,Simulation,Interplay,0,0.01,0,0
Airline Tycoon 2,PC,2011,Simulation,Kalypso Media,0,0.04,0,0.01
Airlock,2600,1981,Action,Data Age,0.36,0.02,0,0
Airport Simulator,PC,2011,Simulation,Unknown,0,0.02,0,0
Airship Q,PSV,2015,Platform,Cygames,0,0,0.03,0
Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,DS,2008,Adventure,Marvelous Interactive,0,0,0.06,0
Akai Ito DS,DS,2008,Adventure,Alchemist,0,0,0.02,0
Akai Katana Shin,X360,2011,Shooter,Cave,0.04,0,0.01,0
Akane Iro ni Somaru Saka Parallel,PS2,2008,Adventure,GN Software,0,0,0.03,0
Akatsuki no Amaneka to Aoi Kyojin,PSP,2010,Strategy,CyberFront,0,0,0.01,0
Akatsuki no Goei Trinity,PS3,2012,Adventure,5pb,0,0,0.01,0
Akatsuki no Goei Trinity,PSP,2012,Adventure,5pb,0,0,0.01,0
AKB1/149: Love Election,PS3,2013,Adventure,Namco Bandai Games,0,0,0.08,0
AKB1/149: Love Election,PSP,2012,Adventure,Namco Bandai Games,0,0,0.23,0
AKB1/149: Love Election,PSV,2012,Adventure,Namco Bandai Games,0,0,0.07,0
AKB1/48: Idol to Guam de Koishitara...,PSP,2011,Misc,Namco Bandai Games,0,0,0.4,0
AKB1/48: Idol to Guam de Koishitara...,X360,N/A,Misc,N/A,0,0,0.01,0
AKB1/48: Idol to Koishitara...,PSP,2010,Misc,Namco Bandai Games,0,0,0.41,0
AKB48+Me,3DS,2012,Action,Unknown,0,0,0.11,0
Akiba's Trip,PSP,2011,Adventure,Acquire,0,0,0.14,0
Akiba's Trip Plus,PSP,2012,Adventure,Acquire,0,0,0.08,0
Akiba's Trip: Undead & Undressed,PS3,2013,Action,Nippon Ichi Software,0.05,0.01,0.04,0.01
Akiba's Trip: Undead & Undressed,PS4,2014,Action,Acquire,0.08,0,0.01,0.02
Akiba's Trip: Undead & Undressed,PSV,2013,Action,Nippon Ichi Software,0.09,0.02,0.08,0.03
Akko ni Omakase! Brain Shock,DS,2006,Misc,Taito,0,0,0.04,0
Akuji the Heartless,PS,1998,Platform,Eidos Interactive,0.07,0.04,0,0.01
Aladdin Magic Racer,Wii,2011,Racing,Big Ben Interactive,0.01,0,0,0
Alan Wake,PC,2012,Action,Nordic Games,0,0.06,0,0.01
Alan Wake,X360,2010,Action,Microsoft Game Studios,0.66,0.51,0.05,0.13
Alex Rider: Stormbreaker,DS,N/A,Action,THQ,0.06,0,0,0
Alexi Lalas International Soccer,PS,1998,Sports,Take-Two Interactive,0.04,0.03,0,0
Alfa Romeo Racing Italiano,PS2,2005,Racing,Black Bean Games,0.01,0.01,0,0
Alia's Carnival! Sacrament,PSV,2015,Adventure,dramatic create,0,0,0.03,0
Alias,PS2,2004,Action,Acclaim Entertainment,0.05,0.04,0,0.01
Alias,XB,2004,Action,Acclaim Entertainment,0.04,0.01,0,0
Alice in Wonderland,DS,2010,Adventure,Disney Interactive Studios,0.27,0.18,0,0.05
